SiteID,SamplingSeasonCode,Year,SeasonSeq,PlotID,SixLetterCode,SpeciesCount,SpeciesSize,intertidal_sitename,intertidal_Latitude,intertidal_Longitude,classification_name,kingdom,phylum_division,class,order,family
ALEG,SP02,2002,1,1,PISOCH,1,30.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,1,30.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,1,30.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,1,90.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,1,90.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,1,90.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,1,100.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,1,100.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,1,100.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,1,150.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,1,150.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,1,150.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,1,180.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,1,180.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,1,180.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,2,190.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,2,190.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,2,190.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,5,50.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,5,50.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,5,50.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,5,60.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,5,60.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,5,60.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,6,80.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,6,80.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,6,80.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,10,70.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,10,70.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,1,PISOCH,10,70.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,2,PISOCH,1,20.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,2,PISOCH,1,20.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,2,PISOCH,1,20.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,2,PISOCH,1,30.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,2,PISOCH,1,30.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,2,PISOCH,1,30.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,2,PISOCH,1,70.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,2,PISOCH,1,70.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,2,PISOCH,1,70.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,2,PISOCH,1,80.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,2,PISOCH,1,80.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,2,PISOCH,1,80.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,2,PISOCH,1,90.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,2,PISOCH,1,90.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,2,PISOCH,1,90.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,2,PISOCH,1,100.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,2,PISOCH,1,100.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
ALEG,SP02,2002,1,2,PISOCH,1,100.0,Alegria,34.467137,-120.27818,pisaster ochraceus,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae
